summonerName,summonerLevel,rank,wins,losses,winRate,kills,deaths,assists,prefLane,campsKilled,minionsKilled,goldEarned,turretTakedowns,visionScore,dragonKills,longestTimeSpentLiving,totalDamageDealt,totalDamageTaken,gameDuration,gameStart
Gim,204,BRONZE,13,12,0.52,6.44,8.2,4.24,MIDDLE,33.08,102.76,10102.2,1,13.32,0,469.64,122303.0,758221,27.564666666666668,18.416666666666668
Mxcro2K,254,BRONZE,13,12,0.52,6.64,8.2,6.72,NONE,8.12,95.48,12125.44,1,11.6,0,438.72,91133.96,702730,27.474666666666668,16.077333333333332
SKT 1Z,501,BRONZE,11,14,0.44,6.84,7.08,9.8,JUNGLE,45.44,55.88,10950.76,1,8.76,0,481.64,112400.92,638294,27.16,16.729333333333333
kimotive03,494,BRONZE,13,12,0.52,9.52,5.84,5.16,ADC,9.2,179.76,12801.36,2,14.04,0,652.96,149649.0,519941,29.749333333333333,16.577333333333332
MammaMiaPizzeria,270,BRONZE,12,13,0.48,5.08,8.52,7.4,MIDDLE,2.88,132.56,10648.8,2,7.0,0,474.84,108378.84,679360,28.84133333333333,9.820666666666666
CowzillaFox,229,BRONZE,11,14,0.44,7.4,6.16,11.8,SUPPORT,2.0,56.12,10999.44,1,22.8,0,487.88,68914.28,541693,26.100666666666665,14.479333333333331
Ceo Viking,674,BRONZE,9,16,0.36,4.84,8.88,12.32,SUPPORT,0.48,53.0,10122.12,1,62.72,0,573.32,68521.6,526384,31.33533333333333,9.920666666666667
IgnisSkyYT,43,BRONZE,15,10,0.6,7.36,6.2,5.88,JUNGLE,120.92,33.88,11012.6,0,19.4,1,575.68,197052.36,799873,27.12133333333333,17.022000000000002
Fixso,149,BRONZE,10,15,0.4,5.68,7.64,7.0,MIDDLE,2.76,144.36,11168.0,1,18.28,0,567.92,134076.16,687638,31.208666666666662,15.564
Volibear1131,87,BRONZE,5,20,0.2,5.04,5.88,6.88,JUNGLE,114.28,29.72,11354.88,1,14.88,0,542.08,180126.72,758779,27.173333333333336,19.636666666666667
Saubermann27,83,BRONZE,7,18,0.28,9.2,4.68,9.24,ADC,5.44,188.2,14491.64,2,9.8,0,767.0,176127.68,481133,29.586666666666662,14.377333333333333
SuperGeppetto,406,BRONZE,12,13,0.48,7.48,7.6,9.32,JUNGLE,57.72,72.48,12038.28,1,19.16,0,577.24,149277.84,868665,30.492,17.399333333333335
Theynaa,115,BRONZE,14,11,0.56,7.24,6.8,8.32,MIDDLE,4.64,120.32,11307.08,2,32.32,0,542.64,118772.76,514414,28.992666666666665,16.912
